we_city,city,cbre_city,local_currency_over_measure,current_per_local_measure_prev,current_per_sq-ft_annum_prev,currency_conversion,currency_convert,current_per_local_measure
Amsterdam,Amsterdam,Amsterdam,EUR sq. m. p.a.,480.58,55.01,1,,480.58
Atlanta,Atlanta,Atlanta,US$ sq. ft. p.a.,43.90,43.90,1,,43.9
Bengaluru,Bangalore,Bangalore,INR sq. ft. p.m.,214.00,39.45,1,,214
Barcelona,Barcelona,Barcelona,EUR sq. m. p.m.,31.46,43.22,1,,31.46
Beijing,Beijing,Beijing,RMB sq. m. p.m.,1066.00,189.44,1,,1066
Berlin,Berlin,Berlin,EUR sq. m. p.m.,34.80,47.80,1,,34.8
Boston,Boston,Boston,US$ sq. ft. p.a.,103.75,103.75,1,,103.75
Brisbane City,Brisbane,Brisbane,AUD sq. m. p.a.,815.00,58.23,1,,815
Buenos Aires,Buenos Aires,Buenos Aires,US$ sq. m. p.m.,48.63,54.22,38.38,ARD,1866.4194
Chicago,Chicago,Chicago,US$ sq. ft. p.a.,61.33,61.33,1,,61.33
Dallas,Dallas,Dallas,US$ sq. ft. p.a.,53.71,53.71,1,,53.71
Denver,Denver,Denver,US$ sq. ft. p.a.,51.25,51.25,1,,51.25
Dublin,Dublin,Dublin,EUR sq. m. p.a.,838.00,95.93,1,,838
Frankfurt,Frankfurt,Frankfurt,EUR sq. m. p.m.,47.20,64.84,1,,47.2
Hamburg,Hamburg,Hamburg,EUR sq. m. p.m.,31.83,43.72,1,,31.83
Hong Kong,Hong Kong,Hong Kong,HKD sq. ft. p.m.,200.51,306.57,1,,200.51
Houston,Houston,Houston,US$ sq. ft. p.a.,63.13,63.13,1,,63.13
Jakarta,Jakarta,Jakarta,IDR sq. m. p.m.,659134.00,53.38,1,,659134
Los Angeles,Los Angeles,Los Angeles,US$ sq. ft. p.a.,50.91,50.91,1,,50.91
Madrid,Madrid,Madrid,EUR sq. m. p.m.,43.24,59.39,1,,43.24
Manchester,Manchester,Manchester,GBP sq. ft. p.a.,52.75,74.05,1,,52.75
Melbourne,Melbourne,Melbourne,AUD sq. m. p.a.,811.00,57.95,1,,811
Ciudad de México,Mexico City,Mexico City,US$ sq. m. p.m.,47.95,53.45,20.04,MXP,960.918
Montreal,Montreal,Montreal,CAD sq. ft. p.a.,45.57,35.34,1,,45.57
Mumbai,Mumbai,Mumbai,INR sq. ft. p.m.,459.20,84.66,1,,459.2
Munich,Munich,Munich,EUR sq. m. p.m.,44.51,61.13,1,,44.51
