REBNY BBL Search,,,,,,
BBL Search Guide,,,,,,
12.27.18,,,,,,
,,,,,,
,,,code,borough,block,lot
,,,1000160235,1,16,235
,,,1000270027,1,27,27
,,,1001467505,1,146,7505
,,,1001507504,1,150,7504
,,,1001500022,1,150,22
,,,1002300033,1,230,33
,,,1003000020,1,300,20
,,,1003000021,1,300,21
,,,1003000022,1,300,22
,,,1003477501,1,347,7501
,,,1003947506,1,394,7506
,,,1003947507,1,394,7507
,,,1004081104,1,408,1104
,,,1004110154,1,411,154
,,,1004270030,1,427,30
,,,1004370014,1,437,14
,,,1004860028,1,486,28
,,,1005227502,1,522,7502
,,,1005440038,1,544,38
,,,1005610005,1,561,5
,,,1005880001,1,588,1
,,,1005957509,1,595,7509
,,,1006120017,1,612,17
,,,1007017501,1,701,7501
,,,1007107501,1,710,7501
,,,1007207504,1,720,7504
,,,1007460022,1,746,22
,,,1007620004,1,762,4
,,,1007970009,1,797,9
,,,1008067502,1,806,7502
,,,1008071103,1,807,1103
,,,1008237507,1,823,7507
,,,1008310053,1,831,53
,,,1008577503,1,857,7503
,,,1008490036,1,849,36
,,,1008860059,1,886,59
,,,1009197501,1,919,7501
,,,1009260041,1,926,41
,,,1009337501,1,933,7501
,,,1010377501,1,1037,7501
,,,1010810029,1,1081,29
,,,1010907502,1,1090,7502
,,,1011057501,1,1105,7501
,,,1011500029,1,1150,29
,,,1011620063,1,1162,63
,,,1011580129,1,1158,129
,,,1011717509,1,1171,7509
,,,1011700001,1,1170,1
,,,1011980005,1,1198,5
,,,1011990053,1,1199,53
,,,1012110008,1,1211,8
,,,1012330157,1,1233,157
,,,1012360027,1,1236,27
,,,1012510068,1,1251,68
,,,1013230035,1,1323,35
,,,1013750037,1,1375,37
,,,1014730042,1,1473,42
,,,1015000058,1,1500,58
,,,1015387501,1,1538,7501
,,,1015520015,1,1552,15
,,,1016070059,1,1607,59
,,,1016337502,1,1633,7502
,,,1017350059,1,1735,59
,,,1018220001,1,1822,1
,,,1018220061,1,1822,61
,,,1018320022,1,1832,22
,,,1018460049,1,1846,49
,,,1018511004,1,1851,1004
,,,1018521101,1,1852,1101
,,,1018650020,1,1865,20
,,,1018680061,1,1868,61
,,,1018880074,1,1888,74
,,,1018890055,1,1889,55
,,,1018910017,1,1891,17
,,,1018930051,1,1893,51
,,,1020387501,1,2038,7501
,,,1020310001,1,2031,1
,,,1020310015,1,2031,15
,,,1020630063,1,2063,63
,,,1020940020,1,2094,20
,,,1020900049,1,2090,49
,,,1021200069,1,2120,69
,,,1021340161,1,2134,161
,,,1021620001,1,2162,1
,,,1021807501,1,2180,7501
,,,2022950073,2,2295,73
,,,2023347501,2,2334,7501
,,,2023661001,2,2366,1001
,,,2023670011,2,2367,11
,,,2023670026,2,2367,26
,,,2023680015,2,2368,15
,,,2023690027,2,2369,27
,,,2023781002,2,2378,1002
,,,2024010035,2,2401,35
,,,2024230063,2,2423,63
,,,2024410200,2,2441,200
,,,2025230067,2,2523,67
,,,2025230068,2,2523,68
,,,2025230069,2,2523,69
,,,2025827501,2,2582,7501
,,,2025827502,2,2582,7502
,,,2026090115,2,2609,115
,,,2026420113,2,2642,113
,,,2026420114,2,2642,114
,,,2026620058,2,2662,58
,,,2026810006,2,2681,6
,,,2026810023,2,2681,23
,,,2026880044,2,2688,44
,,,2026900004,2,2690,4
,,,2026970035,2,2697,35
,,,2028317501,2,2831,7501
,,,2029760060,2,2976,60
,,,2029801002,2,2980,1002
,,,2030147501,2,3014,7501
,,,2030667501,2,3066,7501
,,,2030750052,2,3075,52
,,,2030750053,2,3075,53
,,,2031050026,2,3105,26
,,,2031110001,2,3111,1
,,,2031560085,2,3156,85
,,,2032400060,2,3240,60
,,,2032500220,2,3250,220
,,,2033247501,2,3324,7501
,,,2033607501,2,3360,7501
,,,2035970040,2,3597,40
,,,2036590042,2,3659,42
,,,2036590043,2,3659,43
,,,2037107501,2,3710,7501
,,,2036600056,2,3660,56
,,,2038057501,2,3805,7501
,,,2040077501,2,4007,7501
,,,2044350016,2,4435,16
,,,2044350120,2,4435,120
,,,2044390025,2,4439,25
,,,2046090048,2,4609,48
,,,2046650126,2,4665,126
,,,2046620079,2,4662,79
,,,2046620078,2,4662,78
,,,2046620080,2,4662,80
,,,2048350186,2,4835,186
,,,2051417501,2,5141,7501
,,,2052600024,2,5260,24
,,,2052600026,2,5260,26
,,,2057590358,2,5759,358
,,,2058517501,2,5851,7501
,,,3000367504,3,36,7504
,,,3001547501,3,154,7501
,,,3001667502,3,166,7502
,,,3003047501,3,304,7501
,,,3003050001,3,305,1
,,,3003100003,3,310,3
,,,3003510006,3,351,6
,,,3004360028,3,436,28
,,,3004640019,3,464,19
,,,3004640021,3,464,21
,,,3005260021,3,526,21
,,,3005800024,3,580,24
,,,3007410006,3,741,6
,,,3008267502,3,826,7502
,,,3008410035,3,841,35
,,,3018087501,3,1808,7501
,,,3009331105,3,933,1105
,,,3009330012,3,933,12
,,,3009387503,3,938,7503
,,,3009520014,3,952,14
,,,3009630092,3,963,92
,,,3010470161,3,1047,161
,,,3010580049,3,1058,49
,,,3010660011,3,1066,11
,,,3010890046,3,1089,46
,,,3011030009,3,1103,9
,,,3011270010,3,1127,10
,,,3011730058,3,1173,58
,,,3011800026,3,1180,26
,,,3012060013,3,1206,13
,,,3012707503,3,1270,7503
,,,3013420039,3,1342,39
,,,3013420041,3,1342,41
,,,3014420045,3,1442,45
,,,3014470001,3,1447,1
,,,3014470067,3,1447,67
,,,3014800060,3,1480,60
,,,3014830025,3,1483,25
,,,3014847501,3,1484,7501
,,,3014880040,3,1488,40
,,,3014910047,3,1491,47
,,,3015037501,3,1503,7501
,,,3015077501,3,1507,7501
,,,3015250055,3,1525,55
,,,3015270025,3,1527,25
,,,3015790050,3,1579,50
,,,3016410061,3,1641,61
,,,3016590036,3,1659,36
,,,3016670036,3,1667,36
,,,3017540007,3,1754,7
,,,3017547505,3,1754,7505
,,,3017557503,3,1755,7503
,,,3017620044,3,1762,44
,,,3017800131,3,1780,131
,,,3017820051,3,1782,51
,,,3018757501,3,1875,7501
,,,3018857507,3,1885,7507
,,,3018917501,3,1891,7501
,,,3018937504,3,1893,7504
,,,3019537503,3,1953,7503
,,,3019057502,3,1905,7502
,,,3019800009,3,1980,9
,,,3020117501,3,2011,7501
,,,3020160017,3,2016,17
,,,3020200125,3,2020,125
,,,3020450093,3,2045,93
,,,3020610110,3,2061,110
,,,3020617501,3,2061,7501
,,,3020617502,3,2061,7502
,,,3022380127,3,2238,127
,,,3021067501,3,2106,7501
,,,3021077501,3,2107,7501
,,,3021077502,3,2107,7502
,,,3021697508,3,2169,7508
,,,3022187505,3,2218,7505
,,,3022891002,3,2289,1002
,,,3022760001,3,2276,1
,,,3023240030,3,2324,30
,,,3023337501,3,2333,7501
,,,3023400001,3,2340,1
,,,3023870019,3,2387,19
,,,3024260001,3,2426,1
,,,3024517501,3,2451,7501
,,,3024517502,3,2451,7502
,,,3024607501,3,2460,7501
,,,3024697502,3,2469,7502
,,,3024717501,3,2471,7501
,,,3024727501,3,2472,7501
,,,3025410033,3,2541,33
,,,3025410036,3,2541,36
,,,3027347502,3,2734,7502
,,,3027387501,3,2738,7501
,,,3027607502,3,2760,7502
,,,3027850040,3,2785,40
,,,3027907504,3,2790,7504
,,,3028290028,3,2829,28
,,,3029120023,3,2912,23
,,,3029160052,3,2916,52
,,,3029160053,3,2916,53
,,,3029190032,3,2919,32
,,,3030547502,3,3054,7502
,,,3030700019,3,3070,19
,,,3031317501,3,3131,7501
,,,3031510001,3,3151,1
,,,3031510163,3,3151,163
,,,3032447501,3,3244,7501
,,,3033307501,3,3330,7501
,,,3034130005,3,3413,5
,,,3037940028,3,3794,28
,,,3038047501,3,3804,7501
,,,3038057501,3,3805,7501
,,,3038207501,3,3820,7501
,,,3041070001,3,4107,1
,,,3048190077,3,4819,77
,,,3048290005,3,4829,5
,,,3050300034,3,5030,34
,,,3050460074,3,5046,74
,,,3051747501,3,5174,7501
,,,3056557504,3,5655,7504
,,,3056590043,3,5659,43
,,,3057157501,3,5715,7501
