,bbl.bbl,bbl.bblBoroughCode,bbl.bblBoroughCodeIn,bbl.bblTaxBlock,bbl.bblTaxBlockIn,bbl.bblTaxLot,bbl.bblTaxLotIn,bbl.buildingIdentificationNumber,bbl.businessImprovementDistrict,bbl.condominiumBillingBbl,bbl.condominiumFlag,bbl.continuousParityIndicator,bbl.cooperativeIdNumber,bbl.cornerCode,bbl.dcpCommercialStudyArea,bbl.dofCondominiumIdentificationNumber,bbl.firstBoroughName,bbl.geosupportFunctionCode,bbl.geosupportReturnCode,bbl.gi5DigitStreetCode1,bbl.gi5DigitStreetCode10,bbl.gi5DigitStreetCode11,bbl.gi5DigitStreetCode12,bbl.gi5DigitStreetCode13,bbl.gi5DigitStreetCode14,bbl.gi5DigitStreetCode2,bbl.gi5DigitStreetCode3,bbl.gi5DigitStreetCode4,bbl.gi5DigitStreetCode5,bbl.gi5DigitStreetCode6,bbl.gi5DigitStreetCode7,bbl.gi5DigitStreetCode8,bbl.gi5DigitStreetCode9,bbl.giBoroughCode1,bbl.giBoroughCode10,bbl.giBoroughCode11,bbl.giBoroughCode12,bbl.giBoroughCode13,bbl.giBoroughCode14,bbl.giBoroughCode2,bbl.giBoroughCode3,bbl.giBoroughCode4,bbl.giBoroughCode5,bbl.giBoroughCode6,bbl.giBoroughCode7,bbl.giBoroughCode8,bbl.giBoroughCode9,bbl.giBuildingIdentificationNumber1,bbl.giBuildingIdentificationNumber10,bbl.giBuildingIdentificationNumber11,bbl.giBuildingIdentificationNumber12,bbl.giBuildingIdentificationNumber13,bbl.giBuildingIdentificationNumber14,bbl.giBuildingIdentificationNumber2,bbl.giBuildingIdentificationNumber3,bbl.giBuildingIdentificationNumber4,bbl.giBuildingIdentificationNumber5,bbl.giBuildingIdentificationNumber6,bbl.giBuildingIdentificationNumber7,bbl.giBuildingIdentificationNumber8,bbl.giBuildingIdentificationNumber9,bbl.giDcpPreferredLgc1,bbl.giDcpPreferredLgc10,bbl.giDcpPreferredLgc11,bbl.giDcpPreferredLgc12,bbl.giDcpPreferredLgc13,bbl.giDcpPreferredLgc14,bbl.giDcpPreferredLgc2,bbl.giDcpPreferredLgc3,bbl.giDcpPreferredLgc4,bbl.giDcpPreferredLgc5,bbl.giDcpPreferredLgc6,bbl.giDcpPreferredLgc7,bbl.giDcpPreferredLgc8,bbl.giDcpPreferredLgc9,bbl.giGeographicIdentifier1,bbl.giGeographicIdentifier10,bbl.giGeographicIdentifier14,bbl.giGeographicIdentifier2,bbl.giGeographicIdentifier3,bbl.giGeographicIdentifier4,bbl.giGeographicIdentifier5,bbl.giGeographicIdentifier6,bbl.giGeographicIdentifier7,bbl.giGeographicIdentifier8,bbl.giGeographicIdentifier9,bbl.giHighHouseNumber1,bbl.giHighHouseNumber10,bbl.giHighHouseNumber11,bbl.giHighHouseNumber12,bbl.giHighHouseNumber13,bbl.giHighHouseNumber14,bbl.giHighHouseNumber2,bbl.giHighHouseNumber3,bbl.giHighHouseNumber4,bbl.giHighHouseNumber5,bbl.giHighHouseNumber6,bbl.giHighHouseNumber7,bbl.giHighHouseNumber8,bbl.giHighHouseNumber9,bbl.giLowHouseNumber1,bbl.giLowHouseNumber10,bbl.giLowHouseNumber11,bbl.giLowHouseNumber12,bbl.giLowHouseNumber13,bbl.giLowHouseNumber14,bbl.giLowHouseNumber2,bbl.giLowHouseNumber3,bbl.giLowHouseNumber4,bbl.giLowHouseNumber5,bbl.giLowHouseNumber6,bbl.giLowHouseNumber7,bbl.giLowHouseNumber8,bbl.giLowHouseNumber9,bbl.giSideOfStreetIndicator1,bbl.giSideOfStreetIndicator10,bbl.giSideOfStreetIndicator11,bbl.giSideOfStreetIndicator12,bbl.giSideOfStreetIndicator13,bbl.giSideOfStreetIndicator14,bbl.giSideOfStreetIndicator2,bbl.giSideOfStreetIndicator3,bbl.giSideOfStreetIndicator4,bbl.giSideOfStreetIndicator5,bbl.giSideOfStreetIndicator6,bbl.giSideOfStreetIndicator7,bbl.giSideOfStreetIndicator8,bbl.giSideOfStreetIndicator9,bbl.giStreetCode1,bbl.giStreetCode10,bbl.giStreetCode11,bbl.giStreetCode12,bbl.giStreetCode13,bbl.giStreetCode14,bbl.giStreetCode2,bbl.giStreetCode3,bbl.giStreetCode4,bbl.giStreetCode5,bbl.giStreetCode6,bbl.giStreetCode7,bbl.giStreetCode8,bbl.giStreetCode9,bbl.giStreetName1,bbl.giStreetName10,bbl.giStreetName11,bbl.giStreetName12,bbl.giStreetName13,bbl.giStreetName14,bbl.giStreetName2,bbl.giStreetName3,bbl.giStreetName4,bbl.giStreetName5,bbl.giStreetName6,bbl.giStreetName7,bbl.giStreetName8,bbl.giStreetName9,bbl.highBblOfThisBuildingsCondominiumUnits,bbl.internalLabelXCoordinate,bbl.internalLabelYCoordinate,bbl.irregularlyShapedLotFlag,bbl.latitudeInternalLabel,bbl.longitudeInternalLabel,bbl.lowBblOfThisBuildingsCondominiumUnits,bbl.lowHouseNumberOfDefiningAddressRange,bbl.message,bbl.modeSwitchIn,bbl.numberOfEntriesInListOfGeographicIdentifiers,bbl.numberOfExistingStructuresOnLot,bbl.numberOfStreetFrontagesOfLot,bbl.returnCode1a,bbl.rpadBuildingClassificationCode,bbl.rpadSelfCheckCodeForBbl,bbl.sanbornBoroughCode,bbl.sanbornPageNumber,bbl.sanbornPageNumberSuffix,bbl.sanbornVolumeNumber,bbl.sanbornVolumeNumberSuffix,bbl.selfCheckCodeOfBillingBbl,bbl.taxMapNumberSectionAndVolume,bbl.vacantLotFlag,bbl.workAreaFormatIndicatorIn
0,1000160235,1,1,00016,16,0235,235,,,,,,,,,,MANHATTAN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,1000270027,1,1,00027,27,0027,27,,,,,,,,,,MANHATTAN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,1001467505,1,1,00146,146,7505,7505,1077207,,1001467505,C,,0000,,,2400,MANHATTAN,BL,00,16850,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1077207,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,148,,,,,,,,,,,,,,L,,,,,,,,,,,,,,11685001,,,,,,,,,,,,,,DUANE STREET,,,,,,,,,,,,,,1001467505,0981970,0200217,,40.71622581637935,-74.00822471236378,1001467505,999000605AA,,X,0001,0001,01,00,R8,2,1,017,,01,S,2,10104,,C
0,1001507504,1,1,00150,150,7504,7504,1001645,,1001507504,C,,0000,,11007,2326,MANHATTAN,BL,00,16850,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1001645,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,108,,,,,,,,,,,,,,L,,,,,,,,,,,,,,11685001,,,,,,,,,,,,,,DUANE STREET,,,,,,,,,,,,,,1001507504,0982452,0199940,,40.715465628770765,-74.00648590533326,1001507504,999000624AA,,X,0001,0001,01,00,RS,7,1,018,,01,S,7,10104,,C
0,1001500022,1,1,00150,150,0022,22,,,,,,,,,,MANHATTAN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,1002300033,1,1,00230,230,0033,33,,,,,,,,,,MANHATTAN,BL,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAX LOT NOT FOUND,X,,,,77,,,,,,,,,,,C
0,1003000020,1,1,00300,300,0020,20,1003888,100511,0000000000,,,0000,,11011,,MANHATTAN,BL,00,11610,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1003888,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,35,,,,,,,,,,,,,,L,,,,,,,,,,,,,,11161001,,,,,,,,,,,,,,ALLEN STREET,,,,,,,,,,,,,,1003000020,0986345,0200146,,40.716030984124295,-73.99244266577627,1003000020,000035000AA,,X,0001,0001,01,00,C7,2,1,050,,01,N,,10107,,C
0,1003000021,1,1,00300,300,0021,21,1086603,100511,0000000000,,,0000,,11011,,MANHATTAN,BL,00,11610,,,,,,11610,,,,,,,,1,,,,,,1,,,,,,,,1086603,,,,,,1003889,,,,,,,,01,,,,,,01,,,,,,,,B,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,33,,,,,,,,,,,,,,L,,,,,,,,11161001,,,,,,11161001,,,,,,,,ALLEN STREET,,,,,,ALLEN STREET,,,,,,,,1003000021,0986336,0200123,,40.715967856757665,-73.99247513877827,1003000021,999001007AA,,X,0002,0002,01,00,C7,0,1,050,,01,N,,10107,,C
0,1003000022,1,1,00300,300,0022,22,1003890,100511,0000000000,,,0000,,11011,,MANHATTAN,BL,00,11610,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1003890,,,,,,,,,,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,31,,,,,,,,,,,,,,L,,,,,,,,,,,,,,11161001,,,,,,,,,,,,,,ALLEN STREET,,,,,,,,,,,,,,1003000022,0986327,0200099,,40.71590198462074,-73.99250761202732,1003000022,000031000AA,,X,0001,0001,01,00,C7,8,1,050,,01,N,,10107,,C
0,1003477501,1,1,00347,347,7501,7501,1089451,,1003477501,C,,0000,,,2645,MANHATTAN,BL,00,13810,,,,,,15510,16310,16310,16316,,,,,1,,,,,,1,1,1,1,,,,,1089451,,,,,,1089451,1089451,1089451,1089451,,,,,01,,,,,,01,01,01,01,,,,,,,,,,,,,,,,178,,,,,,138,171,175,177,,,,,164,,,,,,128,171,175,167,,,,,R,,,,,,L,R,R,R,,,,,11381001,,,,,,11551001,11631001,11631001,11631601,,,,,BROOME STREET,,,,,,CLINTON STREET,DELANCEY STREET,DELANCEY STREET,DELANCEY ST SOUTH,,,,,1003477501,0988199,0200519,,40.71705414644496,-73.98575447681026,1003477501,999001096AA,,X,0005,0001,04,00,RB,5,1,000,,00,,5,10201,,C
